page,mode,dpi,proc,input_px,box_thr,text_thr,tile,overlap,nms_iou,tiles,raw,kept,anchors,hit,recall,clusters,clean,merged,spurious,mean_score,sec,postproc,err,overlay,tag,human_label,human_correct
5,single,300,defxdef,1236x800,0.08,0.1,,,,1,15,11,0,0,,11,0,0,11,0.133,1.8,grounded,,dino_lab_runs\20260920_124756\p5_single_dpi300_box0.08_txt0.1_procDEFAULT.jpg,p5_single_dpi300_box0.08_txt0.1_procDEFAULT,unlabeled,
5,single,300,defxdef,1236x800,0.12,0.1,,,,1,4,3,0,0,,3,0,0,3,0.22,1.3,grounded,,dino_lab_runs\20260920_124756\p5_single_dpi300_box0.12_txt0.1_procDEFAULT.jpg,p5_single_dpi300_box0.12_txt0.1_procDEFAULT,unlabeled,
6,tiled,300,defxdef,800x800,0.08,0.1,2800.0,0.2,0.45,6,113,12,1,0,0.0,12,0,0,12,0.148,9.3,grounded,,dino_lab_runs\20260920_124756\p6_tiled_dpi300_box0.08_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT.jpg,p6_tiled_dpi300_box0.08_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT,correct,1.0
6,tiled,300,defxdef,800x800,0.12,0.1,2800.0,0.2,0.45,6,48,6,1,0,0.0,6,0,0,6,0.185,6.6,grounded,,dino_lab_runs\20260920_124756\p6_tiled_dpi300_box0.12_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT.jpg,p6_tiled_dpi300_box0.12_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT,wrong,0.0
6,single,300,defxdef,1236x800,0.08,0.1,,,,1,14,8,1,0,0.0,8,0,0,8,0.092,1.3,grounded,,dino_lab_runs\20260920_124756\p6_single_dpi300_box0.08_txt0.1_procDEFAULT.jpg,p6_single_dpi300_box0.08_txt0.1_procDEFAULT,wrong,0.0
6,single,300,defxdef,1236x800,0.12,0.1,,,,1,4,0,1,0,0.0,0,0,0,0,,1.6,grounded,,dino_lab_runs\20260920_124756\p6_single_dpi300_box0.12_txt0.1_procDEFAULT.jpg,p6_single_dpi300_box0.12_txt0.1_procDEFAULT,wrong,0.0
7,tiled,300,defxdef,800x800,0.08,0.1,2800.0,0.2,0.45,6,133,20,3,3,1.0,20,4,0,16,0.174,9.1,grounded,,dino_lab_runs\20260920_124756\p7_tiled_dpi300_box0.08_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT.jpg,p7_tiled_dpi300_box0.08_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT,wrong,0.0
7,tiled,300,defxdef,800x800,0.12,0.1,2800.0,0.2,0.45,6,78,14,3,3,1.0,14,4,0,10,0.204,10.6,grounded,,dino_lab_runs\20260920_124756\p7_tiled_dpi300_box0.12_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT.jpg,p7_tiled_dpi300_box0.12_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT,wrong,0.0
7,single,300,defxdef,1236x800,0.08,0.1,,,,1,23,21,3,3,1.0,21,6,0,15,0.151,1.4,grounded,,dino_lab_runs\20260920_124756\p7_single_dpi300_box0.08_txt0.1_procDEFAULT.jpg,p7_single_dpi300_box0.08_txt0.1_procDEFAULT,correct,1.0
7,single,300,defxdef,1236x800,0.12,0.1,,,,1,14,13,3,1,0.333,13,2,0,11,0.182,1.9,grounded,,dino_lab_runs\20260920_124756\p7_single_dpi300_box0.12_txt0.1_procDEFAULT.jpg,p7_single_dpi300_box0.12_txt0.1_procDEFAULT,correct,1.0
